"COY","GUAD","PEN","UVAS","RUS","RUSEF","MER","MOK","HSS","SAC","PITMC","PITRC","McC M","NAP","WAD","SUS","PUT RR","PUT BC","SAG"
"COY",0,0.36,0.21,0.49,0.59,0.71,0.75,0.92,0.89,0.73,0.91,0.91,0.89,0.78,0.83,0.8,0.82,0.92,0.96
"GUAD",0.36,0,0.26,0.46,0.59,0.7,0.79,0.91,0.88,0.75,0.9,0.9,0.89,0.82,0.85,0.84,0.84,0.91,0.96
"PEN",0.21,0.26,0,0.44,0.59,0.7,0.79,0.9,0.88,0.75,0.9,0.9,0.89,0.82,0.85,0.84,0.81,0.91,0.96
"UVAS",0.49,0.46,0.44,0,0.62,0.72,0.8,0.91,0.89,0.76,0.91,0.91,0.89,0.83,0.86,0.85,0.85,0.92,0.96
"RUS",0.59,0.59,0.59,0.62,0,0.27,0.76,0.87,0.85,0.73,0.86,0.85,0.85,0.78,0.82,0.8,0.84,0.88,0.96
"RUSEF",0.71,0.7,0.7,0.72,0.27,0,0.79,0.91,0.88,0.76,0.9,0.89,0.89,0.82,0.85,0.84,0.85,0.91,0.96
"MER",0.75,0.79,0.79,0.8,0.76,0.79,0,0.45,0.63,0.6,0.68,0.65,0.65,0.62,0.069,0.62,0.68,0.78,0.9
"MOK",0.92,0.91,0.9,0.91,0.87,0.91,0.45,0,0.8,0.73,0.89,0.89,0.82,0.83,0.86,0.85,0.85,0.65,0.97
"HSS",0.89,0.88,0.88,0.89,0.85,0.88,0.63,0.8,0,0.71,0.8,0.79,0.61,0.81,0.84,0.83,0.83,0.91,0.96
"SAC",0.73,0.75,0.75,0.76,0.73,0.76,0.6,0.73,0.71,0,0.69,0.68,0.7,0.23,0.37,0.24,0.19,0.5,0.89
"PITMC",0.91,0.9,0.9,0.91,0.86,0.9,0.68,0.89,0.8,0.69,0,0.34,0.78,0.79,0.84,0.82,0.83,0.93,0.96
"PITRC",0.91,0.9,0.9,0.91,0.85,0.89,0.65,0.89,0.79,0.68,0.34,0,0.78,0.77,0.83,0.8,0.81,0.93,0.96
"McC M",0.89,0.89,0.89,0.89,0.85,0.89,0.65,0.82,0.61,0.7,0.78,0.78,0,0.81,0.85,0.84,0.84,0.91,0.96
"NAP",0.78,0.82,0.82,0.83,0.78,0.82,0.62,0.83,0.81,0.23,0.79,0.77,0.81,0,0.22,0.12,0.18,0.54,0.9
"WAD",0.83,0.85,0.85,0.86,0.82,0.85,0.069,0.86,0.84,0.37,0.84,0.83,0.85,0.22,0,0.28,0.36,0.65,0.92
"SUS",0.8,0.84,0.84,0.85,0.8,0.84,0.62,0.85,0.83,0.24,0.82,0.8,0.84,0.12,0.28,0,0.21,0.59,0.91
"PUT RR",0.82,0.84,0.81,0.85,0.84,0.85,0.68,0.85,0.83,0.19,0.83,0.81,0.84,0.18,0.36,0.21,0,0.46,0.92
"PUT BC",0.92,0.91,0.91,0.92,0.88,0.91,0.78,0.65,0.91,0.5,0.93,0.93,0.91,0.54,0.65,0.59,0.46,0,0.96
"SAG",0.96,0.96,0.96,0.96,0.96,0.96,0.9,0.97,0.96,0.89,0.96,0.96,0.96,0.9,0.92,0.91,0.92,0.96,0
