Location,FID,BamID,Total Reads,Dedup Paired Reads
CLS,CLS7_2,CLS7_2_RA,139129,80043
COY,CoyS1_2,CoyS1_2_RA,903739,488176
COY,CoyS2_2,CoyS2_2_RA,372606,207424
COY,CoyS3_2,CoyS3_2_RA,383090,202042
COY,CoyS4_2,CoyS4_2_RA,692282,342332
GUAD,Guad_C1,Guad_C1_RA,384813,187591
GUAD,Guad_C2,Guad_C2_RA,554031,268435
GUAD,Guad_C3,Guad_C3_RA,484372,236975
GUAD,Guad_C4,Guad_C4_RA,895908,426236
GUAD,Guad_C5,Guad_C5_RA,523648,257238
GUAD,Guad_C6,Guad_C6_RA,421740,205172
GUAD,Guad_C7,Guad_C7_RA,492760,242699
GUAD,Guad_C8,Guad_C8_RA,707274,341943
HSS,HSS1_2,HSS1_2_RA,860557,474738
HSS,HSS2_2,HSS2_2_RA,1842206,973747
HSS,HSS3_2,HSS3_2_RA,964559,528024
HSS,HSS4_2,HSS4_2_RA,1693652,905770
HSS,HSS5_2,HSS5_2_RA,1465253,789477
HSS,HSS6_2,HSS6_2_RA,366137,209797
HSS,HSS7_2,HSS7_2_RA,383268,195990
HSS,HSS8_2,HSS8_2_RA,394233,220698
McC HB,McC_HB_C1,McC_HB_C1_RA,970407,448524
McC HB,McC_HB_C2,McC_HB_C2_RA,1364284,651548
McC HB,McC_HB_C3,McC_HB_C3_RA,984925,448087
McC HB,McC_HB_C4,McC_HB_C4_RA,1528535,670087
McC HB,McC_HB_C5,McC_HB_C5_RA,1915669,869852
McC HB,McC_HB_C6,McC_HB_C6_RA,1004681,485197
McC HB,McC_HB_C7,McC_HB_C7_RA,1358835,634949
McC HB,McC_HB_C8,McC_HB_C8_RA,1151468,549789
McC M,McC_M_C1,McC_M_C1_RA,982944,454952
McC M,McC_M_C2,McC_M_C2_RA,402217,187834
McC M,McC_M_C3,McC_M_C3_RA,738387,347098
McC M,McC_M_C4,McC_M_C4_RA,1896069,839949
McC M,McC_M_C5,McC_M_C5_RA,2534684,1109870
McC M,McC_M_C6,McC_M_C6_RA,2382784,1023587
McC M,McC_M_C7,McC_M_C7_RA,3298625,1381004
McC M,McC_M_C8,McC_M_C8_RA,1846754,788795
MER,MerS1_2,MerS1_2_RA,168469,100799
MER,MerS7_2,MerS7_2_RA,130527,77345
MER,MerS8_2,MerS8_2_RA,170948,97212
MOK,MokS1_2,MokS1_2_RA,338923,180977
MOK,MokS2_2,MokS2_2_RA,1613919,835484
MOK,MokS3_2,MokS3_2_RA,824354,442563
MOK,MokS4_2,MokS4_2_RA,793486,426730
MOK,MokS5_2,MokS5_2_RA,599938,327214
MOK,MokS6_2,MokS6_2_RA,695264,376452
MOK,MokS7_2,MokS7_2_RA,381689,192716
MOK,MokS8_2,MokS8_2_RA,190382,104573
"NAP",NapS2_2,NapS2_2_RA,155266,88414
"NAP",NapS3_2,NapS3_2_RA,276038,147885
"NAP",NapS4_2,NapS4_2_RA,173188,96091
PEN,Pen_C1,Pen_C1_RA,506024,242697
PEN,Pen_C2,Pen_C2_RA,749890,353464
PEN,Pen_C3,Pen_C3_RA,1288956,598368
PEN,Pen_C4,Pen_C4_RA,876592,410637
PEN,Pen_C5,Pen_C5_RA,946632,443940
PEN,Pen_C6,Pen_C6_RA,990633,469021
PEN,Pen_C7,Pen_C7_RA,1068276,495880
